"","task_Type","Congruency","present_time","num_ratio","SurfAreaRatio","CH_Ratio","ADS_Ratio","Density_Ratio","mean_rt"
"1","Numerical Judgment","Congruent","0.017",0.5,0.1374,0.49,0.2748,0.2804,0.311900932218441
"2","Numerical Judgment","Congruent","0.017",0.5,0.1548,0.4878,0.3096,0.3174,0.552200895124251
"3","Numerical Judgment","Congruent","0.017",0.5,0.1572,0.4805,0.3143,0.3271,0.213749172
"4","Numerical Judgment","Congruent","0.017",0.5,0.1674,0.4922,0.3349,0.3401,0.546401100510507
"5","Numerical Judgment","Congruent","0.017",0.5,0.1764,0.49,0.3527,0.3599,0.52861465971005
"6","Numerical Judgment","Congruent","0.017",0.5,0.1796,0.5002,0.3592,0.3591,0.461276175333333
"7","Numerical Judgment","Congruent","0.017",0.5,0.1836,0.4843,0.3671,0.379,0.581126890833333
"8","Numerical Judgment","Congruent","0.017",0.5,0.1928,0.4956,0.3856,0.3891,0.790951450333333
"9","Numerical Judgment","Congruent","0.017",0.5,0.1933,0.4931,0.3867,0.3921,0.931892625961738
"10","Numerical Judgment","Congruent","0.017",0.5,0.2002,0.4817,0.4003,0.4155,0.405439343
"11","Numerical Judgment","Congruent","0.017",0.5,0.2063,0.4776,0.4126,0.432,0.441790722002238
"12","Numerical Judgment","Congruent","0.017",0.5,0.2097,0.4878,0.4195,0.4299,0.63009054259425
"13","Numerical Judgment","Congruent","0.017",0.5,0.2157,0.4924,0.4314,0.438,0.575526058061141
"14","Numerical Judgment","Congruent","0.017",0.5,0.22,0.4937,0.4399,0.4455,0.411968547365215
"15","Numerical Judgment","Congruent","0.017",0.5,0.2231,0.4988,0.4462,0.4473,0.609541768849762
"16","Numerical Judgment","Congruent","0.017",0.5,0.2264,0.4854,0.4529,0.4665,0.816264940194594
"17","Numerical Judgment","Congruent","0.017",0.5,0.231,0.4795,0.462,0.4818,0.50093760198516
"18","Numerical Judgment","Congruent","0.017",0.5,0.2628,0.4939,0.5256,0.5321,0.6210717235
"19","Numerical Judgment","Congruent","0.017",0.5,0.2751,0.496,0.5502,0.5546,0.567007434
"20","Numerical Judgment","Congruent","0.017",0.5,0.2891,0.4876,0.5782,0.5929,0.614810868688306
"21","Numerical Judgment","Congruent","0.017",0.5,0.2943,0.4861,0.5885,0.6054,0.262290167666667
"22","Numerical Judgment","Congruent","0.017",0.5,0.2976,0.5007,0.5952,0.5944,0.260566340081732
"23","Numerical Judgment","Congruent","0.017",0.5,0.4456,0.499,0.8912,0.893,1.16631557833333
"24","Numerical Judgment","Congruent","0.017",0.5,0.4863,0.4982,0.9725,0.976,0.668717376774097
"25","Numerical Judgment","Congruent","0.017",0.5,0.5463,0.4871,0.9152,0.8916,0.340237035
"26","Numerical Judgment","Congruent","0.017",0.5,1.6648,0.489,0.8324,0.814,0.767543643666667
"27","Numerical Judgment","Congruent","0.017",0.5,2.1137,0.4946,0.9462,0.9566,0.636954514700286
"28","Numerical Judgment","Congruent","0.017",0.5,2.3569,0.4976,0.8486,0.8526,0.503762029770542
"29","Numerical Judgment","Congruent","0.017",0.5,3.233,0.4942,0.6186,0.6259,0.88599713252597
"30","Numerical Judgment","Congruent","0.017",0.5,3.5199,0.4837,0.5682,0.5874,0.686139257
"31","Numerical Judgment","Congruent","0.017",0.5,3.7265,0.5159,0.5367,0.5202,0.2305642365
"32","Numerical Judgment","Congruent","0.017",0.5,3.7589,0.4797,0.5321,0.5546,0.8931972665
