"","task_Type","Congruency","num_ratio","CH_Ratio","Density_Ratio","Surface_Ratio","ADS_Ratio","present_time","seen"
"57","Numerical judgment","Congruent","0.5",0.4496,0.2233,0.1004,0.2008,0.017,0.25
"58","Numerical judgment","Congruent","0.5",0.4496,0.2233,0.1004,0.2008,0.034,0.666666666666667
"59","Numerical judgment","Congruent","0.5",0.4496,0.2233,0.1004,0.2008,0.1,0.777777777777778
"60","Numerical judgment","Congruent","0.5",0.4496,0.2233,0.1004,0.2008,0.5,1
"61","Numerical judgment","Congruent","0.5",0.4503,0.2207,0.0994,0.1988,0.017,0.285714285714286
"62","Numerical judgment","Congruent","0.5",0.4503,0.2207,0.0994,0.1988,0.034,0.5
"63","Numerical judgment","Congruent","0.5",0.4503,0.2207,0.0994,0.1988,0.1,1
"64","Numerical judgment","Congruent","0.5",0.4503,0.2207,0.0994,0.1988,0.5,0.909090909090909
"65","Numerical judgment","Congruent","0.5",0.4504,0.2221,0.1,0.2001,0.017,0.375
"66","Numerical judgment","Congruent","0.5",0.4504,0.2221,0.1,0.2001,0.034,0.375
"67","Numerical judgment","Congruent","0.5",0.4504,0.2221,0.1,0.2001,0.1,0.888888888888889
"68","Numerical judgment","Congruent","0.5",0.4504,0.2221,0.1,0.2001,0.5,0.888888888888889
"69","Numerical judgment","Congruent","0.5",0.4508,0.2236,0.1008,0.2016,0.017,0.571428571428571
"70","Numerical judgment","Congruent","0.5",0.4508,0.2236,0.1008,0.2016,0.034,0.5
"71","Numerical judgment","Congruent","0.5",0.4508,0.2236,0.1008,0.2016,0.1,1
"72","Numerical judgment","Congruent","0.5",0.4508,0.2236,0.1008,0.2016,0.5,1
"73","Numerical judgment","Congruent","0.5",0.4515,0.2246,0.1014,0.2028,0.017,0.384615384615385
"74","Numerical judgment","Congruent","0.5",0.4515,0.2246,0.1014,0.2028,0.034,0.333333333333333
"75","Numerical judgment","Congruent","0.5",0.4515,0.2246,0.1014,0.2028,0.1,1
"76","Numerical judgment","Congruent","0.5",0.4515,0.2246,0.1014,0.2028,0.5,1
"77","Numerical judgment","Congruent","0.5",0.4518,0.2224,0.1005,0.201,0.017,0.285714285714286
"78","Numerical judgment","Congruent","0.5",0.4518,0.2224,0.1005,0.201,0.034,0.555555555555556
"79","Numerical judgment","Congruent","0.5",0.4518,0.2224,0.1005,0.201,0.1,1
"80","Numerical judgment","Congruent","0.5",0.4518,0.2224,0.1005,0.201,0.5,1
"81","Numerical judgment","Congruent","0.5",0.4519,0.2216,0.1002,0.2003,0.017,0.142857142857143
"82","Numerical judgment","Congruent","0.5",0.4519,0.2216,0.1002,0.2003,0.034,1
"83","Numerical judgment","Congruent","0.5",0.4519,0.2216,0.1002,0.2003,0.1,1
"84","Numerical judgment","Congruent","0.5",0.4519,0.2216,0.1002,0.2003,0.5,0.928571428571429
"85","Numerical judgment","Congruent","0.5",0.4524,0.223,0.1009,0.2018,0.017,0.375
"86","Numerical judgment","Congruent","0.5",0.4524,0.223,0.1009,0.2018,0.034,0.769230769230769
"87","Numerical judgment","Congruent","0.5",0.4524,0.223,0.1009,0.2018,0.1,0.9
"88","Numerical judgment","Congruent","0.5",0.4524,0.223,0.1009,0.2018,0.5,1
"89","Numerical judgment","Congruent","0.5",0.4525,0.222,0.1005,0.2009,0.017,0.5
"90","Numerical judgment","Congruent","0.5",0.4525,0.222,0.1005,0.2009,0.034,0.7
"91","Numerical judgment","Congruent","0.5",0.4525,0.222,0.1005,0.2009,0.1,1
"92","Numerical judgment","Congruent","0.5",0.4525,0.222,0.1005,0.2009,0.5,0.909090909090909
"93","Numerical judgment","Congruent","0.5",0.4541,0.2205,0.1001,0.2002,0.017,0.428571428571429
"94","Numerical judgment","Congruent","0.5",0.4541,0.2205,0.1001,0.2002,0.034,0.384615384615385
"95","Numerical judgment","Congruent","0.5",0.4541,0.2205,0.1001,0.2002,0.1,1
"96","Numerical judgment","Congruent","0.5",0.4541,0.2205,0.1001,0.2002,0.5,1
"97","Numerical judgment","Congruent","0.5",0.455,0.2205,0.1003,0.2006,0.017,0.384615384615385
"98","Numerical judgment","Congruent","0.5",0.455,0.2205,0.1003,0.2006,0.034,0.333333333333333
"99","Numerical judgment","Congruent","0.5",0.455,0.2205,0.1003,0.2006,0.1,0.909090909090909
"100","Numerical judgment","Congruent","0.5",0.455,0.2205,0.1003,0.2006,0.5,1
"101","Numerical judgment","Congruent","0.5",0.4558,0.2201,0.1003,0.2006,0.017,0.142857142857143
"102","Numerical judgment","Congruent","0.5",0.4558,0.2201,0.1003,0.2006,0.034,0.5
"103","Numerical judgment","Congruent","0.5",0.4558,0.2201,0.1003,0.2006,0.1,1
"104","Numerical judgment","Congruent","0.5",0.4558,0.2201,0.1003,0.2006,0.5,1
"105","Numerical judgment","Congruent","0.5",0.4562,0.2188,0.0998,0.1996,0.017,0.166666666666667
"106","Numerical judgment","Congruent","0.5",0.4562,0.2188,0.0998,0.1996,0.034,0.714285714285714
"107","Numerical judgment","Congruent","0.5",0.4562,0.2188,0.0998,0.1996,0.1,1
"108","Numerical judgment","Congruent","0.5",0.4562,0.2188,0.0998,0.1996,0.5,1
"109","Numerical judgment","Congruent","0.5",0.4562,0.222,0.1013,0.2026,0.017,0.25
"110","Numerical judgment","Congruent","0.5",0.4562,0.222,0.1013,0.2026,0.034,0.727272727272727
"111","Numerical judgment","Congruent","0.5",0.4562,0.222,0.1013,0.2026,0.1,0.875
"112","Numerical judgment","Congruent","0.5",0.4562,0.222,0.1013,0.2026,0.5,1
"113","Numerical judgment","Congruent","0.5",0.4567,0.2203,0.1006,0.2013,0.017,0.428571428571429
"114","Numerical judgment","Congruent","0.5",0.4567,0.2203,0.1006,0.2013,0.034,0.583333333333333
"115","Numerical judgment","Congruent","0.5",0.4567,0.2203,0.1006,0.2013,0.1,1
"116","Numerical judgment","Congruent","0.5",0.4567,0.2203,0.1006,0.2013,0.5,1
"117","Numerical judgment","Congruent","0.5",0.4574,0.2193,0.1003,0.2007,0.017,0.571428571428571
"118","Numerical judgment","Congruent","0.5",0.4574,0.2193,0.1003,0.2007,0.034,0.545454545454545
"119","Numerical judgment","Congruent","0.5",0.4574,0.2193,0.1003,0.2007,0.1,0.818181818181818
"120","Numerical judgment","Congruent","0.5",0.4574,0.2193,0.1003,0.2007,0.5,1
"121","Numerical judgment","Congruent","0.5",0.4575,0.2193,0.1003,0.2006,0.017,0.4
"122","Numerical judgment","Congruent","0.5",0.4575,0.2193,0.1003,0.2006,0.034,0.666666666666667
"123","Numerical judgment","Congruent","0.5",0.4575,0.2193,0.1003,0.2006,0.1,0.9
"124","Numerical judgment","Congruent","0.5",0.4575,0.2193,0.1003,0.2006,0.5,1
"125","Numerical judgment","Congruent","0.5",0.4577,0.2203,0.1008,0.2016,0.017,0.5
"126","Numerical judgment","Congruent","0.5",0.4577,0.2203,0.1008,0.2016,0.034,0.384615384615385
"127","Numerical judgment","Congruent","0.5",0.4577,0.2203,0.1008,0.2016,0.1,1
"128","Numerical judgment","Congruent","0.5",0.4577,0.2203,0.1008,0.2016,0.5,1
"129","Numerical judgment","Congruent","0.5",0.4579,0.2187,0.1001,0.2003,0.017,0.25
"130","Numerical judgment","Congruent","0.5",0.4579,0.2187,0.1001,0.2003,0.034,0.4
"131","Numerical judgment","Congruent","0.5",0.4579,0.2187,0.1001,0.2003,0.1,1
"132","Numerical judgment","Congruent","0.5",0.4579,0.2187,0.1001,0.2003,0.5,1
"133","Numerical judgment","Congruent","0.5",0.4579,0.2196,0.1005,0.2011,0.017,0.25
"134","Numerical judgment","Congruent","0.5",0.4579,0.2196,0.1005,0.2011,0.034,0.5
"135","Numerical judgment","Congruent","0.5",0.4579,0.2196,0.1005,0.2011,0.1,0.9
"136","Numerical judgment","Congruent","0.5",0.4579,0.2196,0.1005,0.2011,0.5,1
"137","Numerical judgment","Congruent","0.5",0.4588,0.2188,0.1004,0.2008,0.017,0.285714285714286
"138","Numerical judgment","Congruent","0.5",0.4588,0.2188,0.1004,0.2008,0.034,0.166666666666667
"139","Numerical judgment","Congruent","0.5",0.4588,0.2188,0.1004,0.2008,0.1,1
"140","Numerical judgment","Congruent","0.5",0.4588,0.2188,0.1004,0.2008,0.5,1
"141","Numerical judgment","Congruent","0.5",0.4603,0.2184,0.1005,0.201,0.017,0.4
"142","Numerical judgment","Congruent","0.5",0.4603,0.2184,0.1005,0.201,0.034,0.333333333333333
"143","Numerical judgment","Congruent","0.5",0.4603,0.2184,0.1005,0.201,0.1,1
"144","Numerical judgment","Congruent","0.5",0.4603,0.2184,0.1005,0.201,0.5,1
"145","Numerical judgment","Congruent","0.5",0.4604,0.2184,0.1006,0.2011,0.017,0.416666666666667
"146","Numerical judgment","Congruent","0.5",0.4604,0.2184,0.1006,0.2011,0.034,0.428571428571429
"147","Numerical judgment","Congruent","0.5",0.4604,0.2184,0.1006,0.2011,0.1,1
"148","Numerical judgment","Congruent","0.5",0.4604,0.2184,0.1006,0.2011,0.5,1
"149","Numerical judgment","Congruent","0.5",0.4611,0.2194,0.1012,0.2024,0.017,0.5
"150","Numerical judgment","Congruent","0.5",0.4611,0.2194,0.1012,0.2024,0.034,0.888888888888889
"151","Numerical judgment","Congruent","0.5",0.4611,0.2194,0.1012,0.2024,0.1,1
